station,tdate,mean_monthly_temperature,min_monthly_temperature,max_monthly_temperature,monthly_rainfall,year,month
Admiralty,2014-01-01,26.229032258064517,21.700000000000003,25.300000000000004,98.80000000000001,2014,1
Admiralty,2014-02-01,25.793548387096774,22.400000000000002,24.900000000000002,15.800000000000002,2014,2
Admiralty,2014-03-01,26.760714285714286,21.800000000000004,24.900000000000002,120.00000000000003,2014,3
Admiralty,2014-04-01,27.35483870967742,23.499999999999996,25.800000000000004,261.4000000000001,2014,4
Admiralty,2014-05-01,27.816666666666666,22.400000000000002,26.500000000000004,301.00000000000006,2014,5
Admiralty,2014-06-01,28.206451612903226,22.700000000000003,26.900000000000002,196,2014,6
Admiralty,2014-07-01,28.916666666666668,22.600000000000005,28.300000000000004,237.79999999999998,2014,7
Admiralty,2014-08-01,28.561290322580646,22.000000000000004,28.300000000000004,264.4050499745365,2014,8
Admiralty,2014-09-01,28.124193548387098,22.381041817078504,27.699327856141313,207.00137788727642,2014,9
Admiralty,2014-11-01,27.68709677419355,22.615423424482167,27.149739206703025,235.89999999999992,2014,11
Admiralty,2014-12-01,27.25,23.000000000000004,26.500000000000004,225.2,2014,12
Admiralty,2015-01-01,26.73548387096774,23.4,25.600000000000005,76.4,2015,1
Admiralty,2015-02-01,26.448387096774194,23.499999999999996,25.300000000000004,65.19999999999999,2015,2
Admiralty,2015-03-01,27.04032258064516,23.276894121769374,25.84358167024189,138.59999999999994,2015,3
Admiralty,2015-04-01,27.63225806451613,23.100000000000005,26.200000000000003,319.4,2015,4
Admiralty,2015-05-01,27.94,22.300000000000004,26.900000000000002,261.3999999999999,2015,5
Admiralty,2015-06-01,28.36774193548387,23.600000000000005,27.400000000000002,62.00000000000001,2015,6
Admiralty,2015-07-01,28.72,23.4,27.900000000000002,176.20000000000002,2015,7
Admiralty,2015-08-01,28.803225806451614,22.799999999999997,27.800000000000008,83,2015,8
Admiralty,2015-09-01,28.351612903225806,23.2,27.800000000000008,157.39999999999998,2015,9
Admiralty,2015-10-01,28.433333333333334,22.799999999999997,27.300000000000004,85.59999999999995,2015,10
Admiralty,2015-11-01,28.616129032258065,22.200000000000003,27.700000000000003,351.19999999999993,2015,11
Admiralty,2015-12-01,27.266666666666666,23.100000000000005,26.500000000000004,270.3999999999999,2015,12
Admiralty,2016-01-01,27.338709677419356,23.300000000000004,26.100000000000005,174.40000000000003,2016,1
Admiralty,2016-02-01,27.73548387096774,23.100000000000005,26.500000000000004,189.39999999999998,2016,2
Admiralty,2016-03-01,27.26551724137931,23.499999999999996,26.100000000000005,54.80000000000001,2016,3
Admiralty,2016-04-01,28.383870967741935,24.300000000000004,26.800000000000004,116.39999999999998,2016,4
Admiralty,2016-05-01,29.06,24.000000000000004,27.700000000000003,210.99999999999994,2016,5
Admiralty,2016-06-01,28.78709677419355,23.7,27.900000000000002,115.79999999999998,2016,6
Admiralty,2016-07-01,28.09,22.600000000000005,28.400000000000002,256.59999999999997,2016,7
Admiralty,2016-08-01,28.241935483870968,22.200000000000003,28.400000000000002,163.4,2016,8
Admiralty,2016-09-01,28.783870967741937,21.900000000000002,27.800000000000008,93.8,2016,9
Admiralty,2016-10-01,28.21,22.700000000000003,27.500000000000004,245.79999999999993,2016,10
Admiralty,2016-11-01,28.051612903225806,22.200000000000003,27.500000000000004,160.6,2016,11
Admiralty,2016-12-01,27.688172043010752,22.1,25.800000000000004,186.00000000000006,2016,12
Admiralty,2017-01-01,27.3247311827957,22.799999999999997,26.300000000000004,294.80000000000007,2017,1
Admiralty,2017-02-01,26.961290322580645,22.700000000000003,26.700000000000003,153.79999999999998,2017,2
Admiralty,2017-03-01,27.11520737327189,22.600000000000005,25.300000000000004,261.3999999999999,2017,3
Admiralty,2017-04-01,27.269124423963135,23.300000000000004,26.400000000000002,198.98065633935414,2017,4
Admiralty,2017-05-01,27.42304147465438,23.28585337903546,26.817563015674427,224.05581961551215,2017,5
Admiralty,2017-06-01,27.57695852534562,23.11870871267564,26.94375696917788,171.30048017381495,2017,6
Admiralty,2017-07-01,27.730875576036865,23.148769335325728,27.42471787469772,190.22528269660634,2017,7
Admiralty,2017-08-01,27.88479262672811,22.949572310710302,27.491863691618633,146.2089811768543,2017,8
Admiralty,2017-09-01,28.038709677419355,23.000000000000004,28.000000000000004,160.19999999999993,2017,9
Admiralty,2017-10-01,27.803333333333335,22.1,27.400000000000002,114.80000000000001,2017,10
Admiralty,2017-11-01,27.93225806451613,22.9,27.600000000000005,125.41991605309904,2017,11
Admiralty,2017-12-01,27.619729262672813,22.791804135517694,26.8572901510842,96.19450538215122,2017,12
Admiralty,2018-01-01,27.307200460829492,23.001178429816004,26.713993991082926,106.99570087124403,2018,1
Admiralty,2018-02-01,26.994671658986174,22.880625136609858,25.8951440214143,79.60000000000002,2018,2
Admiralty,2018-03-01,26.682142857142857,23.100000000000005,25.800000000000004,73.79999999999997,2018,3
Admiralty,2018-04-01,27.480645161290322,22.400000000000002,26.400000000000002,244.59999999999994,2018,4
Admiralty,2018-05-01,27.863333333333333,22.000000000000004,26.700000000000003,248.8,2018,5
Admiralty,2018-06-01,28.048387096774192,22.700000000000003,28.200000000000003,161.79999999999998,2018,6
Admiralty,2018-07-01,28.05,22.200000000000003,28.400000000000002,120.39999999999998,2018,7
Admiralty,2018-08-01,28.348387096774193,21.6,27.400000000000002,71.2,2018,8
Admiralty,2018-09-01,28.467741935483872,21.500000000000004,27.800000000000008,180.60000000000005,2018,9
Admiralty,2018-10-01,27.833333333333332,21.900000000000002,27.300000000000004,253.8,2018,10
Admiralty,2018-11-01,27.474193548387095,23.100000000000005,27.900000000000002,307.69999999999993,2018,11
Admiralty,2018-12-01,27.12,22.000000000000004,25.700000000000003,245.79999999999993,2018,12
Admiralty,2019-01-01,27.229032258064517,23.600000000000005,26.200000000000003,106.8,2019,1
Admiralty,2019-02-01,27.503225806451614,23.100000000000005,26.900000000000002,114.2,2019,2
Admiralty,2019-03-01,27.707142857142856,21.4,26.300000000000004,209.79999999999995,2019,3
Admiralty,2019-04-01,28.309677419354838,21.500000000000004,26.700000000000003,188.19999999999993,2019,4
Admiralty,2019-05-01,28.39,22.200000000000003,27.200000000000003,144.39999999999998,2019,5
Admiralty,2019-06-01,28.77741935483871,23.7,27.900000000000002,132.59999999999997,2019,6
Admiralty,2019-07-01,28.12,22.499999999999996,27.600000000000005,141.40000000000003,2019,7
Admiralty,2019-08-01,28.670967741935485,22.400000000000002,27.700000000000003,56.8,2019,8
Admiralty,2019-09-01,28.906451612903226,21.700000000000003,27.700000000000003,113.80000000000007,2019,9
Admiralty,2019-10-01,28.873333333333335,22.400000000000002,27.400000000000002,217.60000000000005,2019,10
Admiralty,2019-11-01,27.42258064516129,23.2,25.600000000000005,242.00000000000003,2019,11
Admiralty,2019-12-01,27.606666666666666,22.9,26.400000000000002,301.80000000000007,2019,12
Admiralty,2020-01-01,26.39032258064516,21.4,25.800000000000004,135.59999999999994,2020,1
Admiralty,2020-02-01,27.3,23.300000000000004,25.900000000000002,72.4,2020,2
Admiralty,2020-03-01,27.420689655172414,23.100000000000005,25.900000000000002,182,2020,3
Admiralty,2020-04-01,28.29032258064516,23.600000000000005,26.700000000000003,128.33509557024635,2020,4
Admiralty,2020-05-01,28.493333333333332,22.400000000000002,27.600000000000005,209.4150561945281,2020,5
Admiralty,2020-06-01,28.716129032258063,23.4,28.300000000000004,135.20000000000002,2020,6
Admiralty,2020-07-01,28.013333333333332,23.4,27.800000000000008,214.99999999999997,2020,7
Admiralty,2020-08-01,27.674193548387098,22.799999999999997,27.700000000000003,111.2,2020,8
Admiralty,2020-09-01,28.316129032258065,22.9,28.200000000000003,252.80000000000004,2020,9
Admiralty,2020-10-01,27.303333333333335,21.4,26.800000000000004,142.00000000000003,2020,10
Admiralty,2020-11-01,28.151612903225807,22.499999999999996,27.500000000000004,316.00000000000006,2020,11
Admiralty,2020-12-01,26.996666666666666,22.600000000000005,27.200000000000003,171.79999999999995,2020,12
Admiralty,2021-01-01,26.303172043010754,22.049679570457155,25.940872846529135,409.59999999999974,2021,1
Admiralty,2021-02-01,25.60967741935484,21.4,24.800000000000004,40.19999999999999,2021,2
Admiralty,2021-03-01,26.87142857142857,23.2,25.400000000000002,187.76390915837092,2021,3
Admiralty,2021-04-01,27.29904761904762,22.858598620803605,26.273083796134973,285.00000000000006,2021,4
Admiralty,2021-05-01,27.726666666666667,22.499999999999996,26.700000000000003,293.6702412511366,2021,5
Admiralty,2021-06-01,27.946810035842294,22.5287979784597,27.249258123251877,193.7939633586524,2021,6
Admiralty,2021-07-01,28.16695340501792,22.4245754660599,27.208837277911073,172.40000000000003,2021,7
Admiralty,2021-08-01,28.387096774193548,22.499999999999996,27.800000000000008,382.39999999999986,2021,8
Admiralty,2021-09-01,27.141935483870967,21.900000000000002,27.000000000000004,292.4,2021,9
Admiralty,2021-10-01,27.75,22.300000000000004,27.100000000000005,196,2021,10
Admiralty,2021-11-01,28.18064516129032,22.499999999999996,28.100000000000005,188.39999999999995,2021,11
Admiralty,2021-12-01,27.203333333333333,23.100000000000005,26.800000000000004,188.99999999999994,2021,12
Admiralty,2022-01-01,27.15483870967742,22.400000000000002,26.400000000000002,162.4,2022,1
Admiralty,2022-02-01,27.016129032258064,23.100000000000005,25.400000000000002,197.60000000000005,2022,2
Admiralty,2022-03-01,26.817857142857143,23.000000000000004,26.100000000000005,382.6000000000001,2022,3
Admiralty,2022-04-01,27.677419354838708,21.800000000000004,26.200000000000003,174.9,2022,4
Admiralty,2022-05-01,27.743333333333332,22.200000000000003,26.500000000000004,341.59999999999997,2022,5
Admiralty,2022-06-01,28.78709677419355,23.300000000000004,27.700000000000003,279.3999999999999,2022,6
Admiralty,2022-07-01,27.543333333333333,22.600000000000005,27.400000000000002,164.00000000000003,2022,7
Admiralty,2022-08-01,28.37741935483871,21.6,28.100000000000005,321.4,2022,8
Admiralty,2022-09-01,27.606451612903225,22.1,27.500000000000004,247.59999999999994,2022,9
Admiralty,2022-10-01,27.523333333333333,22.200000000000003,26.300000000000004,355.99999999999994,2022,10
Admiralty,2022-11-01,27.1,22.799999999999997,26.500000000000004,478.99999999999994,2022,11
Admiralty,2022-12-01,26.963333333333335,22.000000000000004,26.400000000000002,212.59999999999994,2022,12
Admiralty,2023-01-01,26.325806451612902,22.799999999999997,25.300000000000004,197.8,2023,1
Admiralty,2023-02-01,26.270967741935483,22.300000000000004,25.500000000000004,375.00000000000006,2023,2
Admiralty,2023-03-01,26.47142857142857,21.800000000000004,25.300000000000004,324.4000000000001,2023,3
Admiralty,2023-04-01,26.45806451612903,21.6,25.800000000000004,217.19999999999996,2023,4
Admiralty,2023-05-01,28.07,22.700000000000003,27.300000000000004,84,2023,5
Admiralty,2023-06-01,29.14516129032258,22.400000000000002,28.500000000000004,122.59999999999997,2023,6
Admiralty,2023-07-01,28.72,23.000000000000004,27.900000000000002,125.39999999999996,2023,7
Admiralty,2023-08-01,28.37741935483871,21.800000000000004,28.000000000000004,82,2023,8
Admiralty,2023-09-01,28.370967741935484,22.499999999999996,27.900000000000002,206.99999999999994,2023,9
Admiralty,2023-10-01,28.556666666666665,22.400000000000002,27.600000000000005,124.4,2023,10
Admiralty,2023-11-01,28.009999999999998,22.879607814660552,26.983309872892296,211.60000000000002,2023,11
Admiralty,2023-12-01,27.463333333333335,22.700000000000003,26.100000000000005,517.4,2023,12
Ang Mo Kio,2014-01-01,26.138709677419353,21.4,25.400000000000002,66.6,2014,1
Ang Mo Kio,2014-02-01,25.825806451612902,22.499999999999996,24.800000000000004,8.4,2014,2
Ang Mo Kio,2014-03-01,26.682258064516127,23.225780598923432,25.738056386603876,85.19999999999999,2014,3
Ang Mo Kio,2014-04-01,27.538709677419355,23.7,26.300000000000004,180,2014,4
Ang Mo Kio,2014-05-01,28.096666666666668,22.9,27.200000000000003,220.59999999999994,2014,5
Ang Mo Kio,2014-06-01,28.52258064516129,22.700000000000003,27.100000000000005,143.80000000000004,2014,6
Ang Mo Kio,2014-07-01,29.153333333333332,22.300000000000004,28.600000000000005,146.39999999999998,2014,7
Ang Mo Kio,2014-08-01,28.761290322580646,21.800000000000004,28.300000000000004,180.60000000000005,2014,8
Ang Mo Kio,2014-09-01,27.593548387096774,22.700000000000003,27.000000000000004,105.19999999999999,2014,9
Ang Mo Kio,2014-10-01,28.52,22.499999999999996,27.500000000000004,297.54521187115853,2014,10
